Q,A,label
CTF 모든 팀 등수는 어떻게 봐?,진행 중인 리그에 들어가 결과 조회를 하면 점수를 확인 할 수 있습니다.,3
CTF 팀 등록은 어떻게 해?,진행 중인 리그에서 팀 생성을 하고 비밀번호를 정하세요! 그리고 팀원에게 비밀번호를 알려주면 들어올 수 있습니다.,3
CTF 팀 참가는 어덯게 해?,진행 중인 리그에서 팀 참가를 누르고 참가하길 원하는 팀의 이름과 비밀번호를 입력해 참가하세요!,3
CTF 문제는 어디서 봐?,진행 중인 리그에서 리그 참여를 하면 다양한 카테고리별로 문제와 점수를 확인 할 수 있습니다! 그 중 원하는 문제를 풀고 점수를 획득하세요!,3
CTF 문제는 어떻게 풀어?,진행 중인 리그에서 리그 참여를 하면 다양한 카테고리별로 문제와 점수를 확인 할 수 있습니다! 그 중 원하는 문제를 풀고 점수를 획득하세요!,3
게시글 좋아요는 어디에서 누를 수 있을까?,커뮤니티에서 원하는 게시글에 들어가 좋아요 버튼을 누를 수 있습니다.,3
댓글 등록 방법에 대해서 알려줄래?,커뮤니티에서 원하는 게시글에 들어가면 하단에 댓글을 작성할 수 있습니다.,3
댓글 수정은 어디에서 해야하니?,내가 작성한 댓글이 있는 게시글에 들어가 댓글 옆에 수정 버튼을 누르면 됩니다.,3
댓글 어디서 볼 수 있을까?,게시글 하단에 댓글이 있습니다.,3
댓글 삭제는 어떻게 할 수 있니?,내가 작성한 댓글이 있는 게시글에 들어가 댓글 옆에 삭제 버튼을 누르면 됩니다.,3
리그를 확인할 수 있는 방법을 알고 싶어,현재 진행 중인 리그 중 원하는 리그에 들어가면 자세한 내용을 확인 할 수 있습니다.,3
리그 팀 조회는 어떻게 하니?,진행 중인 리그에 들어가 오른쪽 하단에 팀 버튼을 누르면 확인 할 수 있습니다.,3
리그 팀 점수는 어떻게 확인할 수 있을까?,진행 중인 리그에 들어가 오른쪽 하단에 팀 버튼을 누르면 확인 할 수 있습니다.,3
리그 모든 팀 점수는 어디에서 봐야하니?,진행 중인 리그에 들어가 결과 조회를 하면 점수를 확인 할 수 있습니다.,3
리그 모든 팀의 등수는 어디에서 확인할 수 있어?,진행 중인 리그에 들어가 결과 조회를 하면 점수를 확인 할 수 있습니다.,3
리그 팀 등록 방법을 알려줄래?,진행 중인 리그에서 팀 생성을 하고 비밀번호를 정하세요! 그리고 팀원에게 비밀번호를 알려주면 들어올 수 있습니다.,3
리그 팀에 참가하고 싶은데 방법을 알려줄래?,진행 중인 리그에서 팀 참가를 누르고 참가하길 원하는 팀의 이름과 비밀번호를 입력해 참가하세요!,3
리그 문제를 볼 수 있는 방법을 알려줄래?,진행 중인 리그에서 리그 참여를 하면 다양한 카테고리별로 문제와 점수를 확인 할 수 있습니다! 그 중 원하는 문제를 풀고 점수를 획득하세요!,3
리그 문제는 어디에서 풀 수 있니?,진행 중인 리그에서 리그 참여를 하면 다양한 카테고리별로 문제와 점수를 확인 할 수 있습니다! 그 중 원하는 문제를 풀고 점수를 획득하세요!,3
CTF 리그는 어디에서 볼 수 있어?,현재 진행 중인 리그 중 원하는 리그에 들어가면 자세한 내용을 확인 할 수 있습니다.,3
CTF 리그 팀 조회는 어떻게 해야해?,진행 중인 리그에 들어가 오른쪽 하단에 팀 버튼을 누르면 확인 할 수 있습니다.,3
CTF 리그 팀 점수를 확인하고 싶어,진행 중인 리그에 들어가 오른쪽 하단에 팀 버튼을 누르면 확인 할 수 있습니다.,3
CTF 모든 팀 점수를 확인하는 방법을 알려줄래?,진행 중인 리그에 들어가 결과 조회를 하면 점수를 확인 할 수 있습니다.,3
CTF 모든 팀의 등수는 어디에서 봐야해?,진행 중인 리그에 들어가 결과 조회를 하면 점수를 확인 할 수 있습니다.,3
CTF 팀 등록은 어떻게 하니?,진행 중인 리그에서 팀 생성을 하고 비밀번호를 정하세요! 그리고 팀원에게 비밀번호를 알려주면 들어올 수 있습니다.,3
CTF 팀 참가는 어떻게 해?,진행 중인 리그에서 팀 참가를 누르고 참가하길 원하는 팀의 이름과 비밀번호를 입력해 참가하세요!,3
CTF 문제 어디서 볼 수 있는지 알려줘,진행 중인 리그에서 리그 참여를 하면 다양한 카테고리별로 문제와 점수를 확인 할 수 있습니다! 그 중 원하는 문제를 풀고 점수를 획득하세요!,3
CTF 문제 어디서 풀 수 있을까?,진행 중인 리그에서 리그 참여를 하면 다양한 카테고리별로 문제와 점수를 확인 할 수 있습니다! 그 중 원하는 문제를 풀고 점수를 획득하세요!,3
CTF가 뭔가요?,본진에 침투해 깃발을 탈취하여 가져오면 점수를 얻는 게임 방식입니다. 본 사이트에서는 리그를 열어 기간안에 컴퓨터지식 관련된 주관식  객관식 문제를 테스트하는 리그를 진행합니다. 문제를 풀어 점수를 획득하여 많은 점수를 모은 팀에게는 뱃찌를 수여합니다!,3
CTF에 대해 말해줘, 본진에 침투해 깃발을 탈취하여 가져오면 점수를 얻는 게임 방식입니다. 위 사이트에서는 리그를 진행하여 기간안에 컴퓨터지식 관련된 주관식과 객관식 문제를 테스트하는 리그를 진행합니다. 문제를 풀어 점수를 획득하여 많은 점수를 모은 팀에게는 뱃찌를 수여합니다!,3
리그가 뭔가요?,본진에 침투해 깃발을 탈취하여 가져오면 점수를 얻는 게임 방식입니다. 본 사이트에서는 리그를 열어 기간안에 컴퓨터지식 관련된 주관식  객관식 문제를 테스트하는 리그를 진행합니다. 문제를 풀어 점수를 획득하여 많은 점수를 모은 팀에게는 뱃찌를 수여합니다!,3
리그가 뭔지 말해줘, 본진에 침투해 깃발을 탈취하여 가져오면 점수를 얻는 게임 방식입니다. 위 사이트에서는 리그를 진행하여 기간안에 컴퓨터지식 관련된 주관식과 객관식 문제를 테스트하는 리그를 진행합니다. 문제를 풀어 점수를 획득하여 많은 점수를 모은 팀에게는 뱃찌를 수여합니다!,3
내가 푼 문제는 어떻게 봐?,마이페이지에 들어가면 문제 확인 탭을 누르면 틀린문제  만든 문제  풀었던 문제 이렇게 확인할 수 있습니다.,3
문제등록은 어디서 해야해?, 문제 목록 페이지 검색창 옆에 있습니다.,3
티어가 뭔지 설명해줘,저희의 티어는 알->아기까마귀->초딩까마귀->사춘기까마귀->대딩까마귀->석박사까마귀로 이루어져있습니다.,3
문제별 점수에 대해 알려줘, 알(2)->아기까마귀(5)->초딩까마귀(7)->사춘기까마귀(10)->대딩까마귀(15)->석박사까마귀(20)로 구성되어있습니다.,3
티어별 경험치를 알려줘, 알(100)->아기까마귀(500)->초딩까마귀(800)->사춘기까마귀(1200)->대딩까마귀(5000)->석박사까마귀(10000)로 구성되어있습니다.,3
회원가입은 어디서 해?,메인페이지 오른쪽 상단에 버튼이 있습니다.,3
코딩 문제는 어디서 수정해?,마이페이지에서 내가 만든 문제에 들어가 수정 할 수 있습니다.,3
코딩 문제는 어디서 삭제해?,마이페이지에서 내가 만든 문제에 들어가 삭제 할 수 있습니다.,3
코딩 문제는 어디서 볼 수 있어?,맨 위 헤더에 문제 풀기에 들어가면 다양한 코딩 문제를 확인 할 수 있습니다.,3
코딩 문제 상세 조회는 어디서 해야해?,",맨 위 헤더 탭에 문제 풀기에 들어가 원하는 문제를 클릭하면 상세한 내용을 확인 할 수 있습니다.",3
코딩 문제는 어디서 검색해야해?,맨 위 문제 풀기에 들어가면 검색창이 있습니다.,3
코딩 문제는 어디서 풀어?,문제 풀기에 들어가 원하는 코딩 문제를 클릭하면 문제풀기 버튼이 있습니다.,3
내가 푼 문제는 어디서 봐?,"마이페이지에 내가 푼 문제로 들어가면 확인 할 수 있습니다.,3",3
내가 틀린 문제는 어디서 봐?,마이페이지에 틀린 문제를 클릭하면 확인 할 수 있습니다.,3
내가 푼 문제와 유사한 문제를 확인하고 싶어, 문제를 푼 후 해당 문제와 유사한 문제를 확인 할 수 있습니다.,3
내 수준에 맞는 문제는 어디서 확인해?, 마이페이지 코딩 뱃지 확인에서 문제를 추천 받을 수 있습니다.,3
게시글은 어떻게 등록해?,커뮤니티로 들어가 게시글 작성을 누르면 게시글을 작성할 수 있습니다.,3
게시글은 어떻게 수정해?,마이페이지 내 게시글로 들어가 원하는 게시글을 수정할 수 있습니다.,3
게시글은 어디서 확인해?,커뮤니티로 가면 다양한 카테고리 별로 게시글을 확인 할 수 있습니다.,3
게시글 좋아요는 어디서 눌러?,커뮤니티에서 원하는 게시글에 들어가 좋아요 버튼을 누를 수 있습니다.,3
댓글은 어떻게 등록해?,커뮤니티에서 원하는 게시글에 들어가면 하단에 댓글을 작성할 수 있습니다.,3
댓글은 어떻게 수정해?,내가 작성한 댓글이 있는 게시글에 들어가 댓글 옆에 수정 버튼을 누르면 됩니다.,3
댓글은 어디서 확인해?,게시글 하단에 댓글이 있습니다.,3
댓글은 어디서 삭제해?,내가 작성한 댓글이 있는 게시글에 들어가 댓글 옆에 삭제 버튼을 누르면 됩니다.,3
리그는 어디서 확인해?,현재 진행 중인 리그 중 원하는 리그에 들어가면 자세한 내용을 확인 할 수 있습니다.,3
리그 팀은 어디서 확인해?,진행 중인 리그에 들어가 오른쪽 하단에 팀 버튼을 누르면 확인 할 수 있습니다.,3
리그 팀 점수는 어디서 확인해?,진행 중인 리그에 들어가 오른쪽 하단에 팀 버튼을 누르면 확인 할 수 있습니다.,3
리그의 모든 팀 점수는 어디서 확인해?,진행 중인 리그에 들어가 결과 조회를 하면 점수를 확인 할 수 있습니다.,3
리그의 모든 팀 등수는 어디서 확인해?,진행 중인 리그에 들어가 결과 조회를 하면 점수를 확인 할 수 있습니다.,3
리그의 팀 등록은 어디서 해야해?,진행 중인 리그에서 팀 생성을 하고 비밀번호를 정하세요! 그리고 팀원에게 비밀번호를 알려주면 들어올 수 있습니다.,3
리그 팀 참가는 어디서 해야해?,진행 중인 리그에서 팀 참가를 누르고 참가하길 원하는 팀의 이름과 비밀번호를 입력해 참가하세요!,3
리그 문제는 어디서 확인해?,진행 중인 리그에서 리그 참여를 하면 다양한 카테고리별로 문제와 점수를 확인 할 수 있습니다! 그 중 원하는 문제를 풀고 점수를 획득하세요!,3
리그 문제는 어디서 풀어?,진행 중인 리그에서 리그 참여를 하면 다양한 카테고리별로 문제와 점수를 확인 할 수 있습니다! 그 중 원하는 문제를 풀고 점수를 획득하세요!,3
CTF 리그는 어디서 봐야해?,현재 진행 중인 리그 중 원하는 리그에 들어가면 자세한 내용을 확인 할 수 있습니다.,3
